TM NAME,tm_code,Average PTS,Average 2PTM,Average AST,Average ST,Average BLK,Average TR,Average PIR
Crvena Zvezda Meridianbet Belgrade,4,81.91666666666667,18.833333333333332,18.25,7.5,1.6666666666666667,36.166666666666664,90.75
Maccabi Playtika Tel Aviv,10,85.5,22.833333333333332,20.083333333333332,7.833333333333333,2.9166666666666665,35.833333333333336,93.83333333333333
FC Barcelona,6,83.41666666666667,21.5,18.666666666666668,5.833333333333333,2.8333333333333335,36.25,96.16666666666667
FC Bayern Munich,7,80.0,21.333333333333332,14.833333333333334,5.833333333333333,3.25,40.416666666666664,87.25
Virtus Segafredo Bologna,16,82.75,20.75,19.583333333333332,6.0,2.75,33.083333333333336,90.5
Fenerbahce Beko Istanbul,8,80.75,19.0,16.583333333333332,5.333333333333333,2.4166666666666665,32.833333333333336,85.75
Panathinaikos AKTOR Athens,12,81.66666666666667,19.5,16.416666666666668,7.416666666666667,2.9166666666666665,33.166666666666664,93.16666666666667
Baskonia Vitoria-Gasteiz,3,82.75,19.25,18.166666666666668,5.833333333333333,2.4166666666666665,37.416666666666664,91.66666666666667
Valencia Basket,15,74.83333333333333,20.333333333333332,16.25,6.583333333333333,1.75,34.75,77.0
Anadolu Efes Istanbul,2,80.25,20.416666666666668,17.75,7.25,2.25,29.666666666666668,88.83333333333333
LDLC ASVEL Villeurbanne,9,82.25,20.75,17.916666666666668,6.416666666666667,1.4166666666666667,32.583333333333336,91.25
ALBA Berlin,0,75.66666666666667,17.833333333333332,15.416666666666666,8.333333333333334,2.5,31.833333333333332,77.75
Zalgiris Kaunas,17,78.58333333333333,18.75,15.166666666666666,5.25,2.25,31.833333333333332,80.91666666666667
AS Monaco,1,79.41666666666667,20.333333333333332,16.083333333333332,6.916666666666667,1.5,34.666666666666664,87.25
Olympiacos Piraeus,11,78.08333333333333,17.583333333333332,19.333333333333332,6.416666666666667,2.0,32.166666666666664,87.58333333333333
Partizan Mozzart Bet Belgrade,13,87.58333333333333,23.416666666666668,17.25,6.416666666666667,2.9166666666666665,31.0,97.33333333333333
EA7 Emporio Armani Milan,5,79.75,17.75,16.333333333333332,6.666666666666667,1.6666666666666667,31.666666666666668,86.08333333333333
Real Madrid,14,89.08333333333333,21.0,22.333333333333332,5.75,3.75,36.916666666666664,110.33333333333333
