ROUND,TM NAME,OPP NAME,W/L,PTS_home,PTS_away,2PTM_home,2PTM_away,AST_home,AST_away,ST_home,ST_away,BLK_home,BLK_away,TR_home,TR_away,PIR_home,PIR_away,tm_code,opp_code
1,Crvena Zvezda Meridianbet Belgrade,LDLC ASVEL Villeurbanne,1,94,73,16,17,19,17,10,5,2,3,40,31,105,81,4,9
1,Maccabi Playtika Tel Aviv,Partizan Mozzart Bet Belgrade,1,96,81,27,26,31,18,11,7,2,2,34,26,121,88,10,13
1,FC Barcelona,Anadolu Efes Istanbul,1,91,74,32,22,21,24,5,9,3,1,35,25,114,81,6,2
1,FC Bayern Munich,ALBA Berlin,1,80,68,23,16,12,14,5,10,3,3,49,17,88,69,7,0
1,Virtus Segafredo Bologna,Zalgiris Kaunas,0,79,82,23,18,21,11,8,6,1,3,32,30,90,80,16,17
1,Fenerbahce Beko Istanbul,EA7 Emporio Armani Milan,1,85,82,18,18,15,18,5,9,1,3,27,41,74,101,8,5
1,Panathinaikos AKTOR Athens,Olympiacos Piraeus,0,78,88,16,19,15,20,8,13,2,2,32,30,83,100,12,11
1,Baskonia Vitoria-Gasteiz,Real Madrid,0,77,79,24,13,18,19,4,7,3,4,53,36,94,81,3,14
1,Valencia Basket,AS Monaco,1,70,65,11,15,14,13,5,12,4,2,38,29,71,65,15,1
2,Anadolu Efes Istanbul,Real Madrid,0,80,103,20,21,18,22,7,3,2,3,32,38,77,129,2,14
2,LDLC ASVEL Villeurbanne,Partizan Mozzart Bet Belgrade,0,62,88,19,28,9,18,4,11,0,6,35,36,49,117,9,13
2,ALBA Berlin,Baskonia Vitoria-Gasteiz,0,86,91,23,21,19,19,12,8,2,2,31,39,93,98,0,3
2,Panathinaikos AKTOR Athens,FC Bayern Munich,1,78,71,17,23,12,11,6,7,2,3,32,34,89,68,12,7
2,Zalgiris Kaunas,Crvena Zvezda Meridianbet Belgrade,1,79,74,25,20,17,13,5,3,5,1,34,41,94,71,17,4
2,AS Monaco,Virtus Segafredo Bologna,0,59,83,17,13,9,18,4,4,1,1,35,46,52,93,1,16
2,Olympiacos Piraeus,FC Barcelona,0,68,77,21,12,17,20,11,7,2,3,26,32,70,96,11,6
2,Valencia Basket,Fenerbahce Beko Istanbul,1,77,74,24,15,17,13,4,6,2,6,42,32,88,67,15,8
3,Partizan Mozzart Bet Belgrade,FC Barcelona,0,83,92,27,17,11,24,3,4,2,3,33,42,88,111,13,6
3,Fenerbahce Beko Istanbul,Panathinaikos AKTOR Athens,1,83,69,18,19,20,11,6,5,1,1,34,28,93,67,8,12
3,Anadolu Efes Istanbul,LDLC ASVEL Villeurbanne,1,89,84,22,18,20,15,7,6,2,3,34,24,105,81,2,9
3,Baskonia Vitoria-Gasteiz,FC Bayern Munich,0,68,76,15,20,15,17,7,7,2,5,33,43,58,95,3,7
3,EA7 Emporio Armani Milan,Olympiacos Piraeus,1,65,53,16,14,14,12,7,6,0,2,29,31,65,55,5,11
3,Real Madrid,Zalgiris Kaunas,1,93,79,22,21,26,14,6,5,6,1,35,32,122,72,14,17
3,Crvena Zvezda Meridianbet Belgrade,AS Monaco,0,76,82,17,21,19,23,9,5,1,2,30,35,83,101,4,1
3,Valencia Basket,Maccabi Playtika Tel Aviv,1,75,66,20,15,20,18,8,2,3,3,35,27,89,59,15,10
3,Virtus Segafredo Bologna,ALBA Berlin,1,87,76,22,20,21,12,9,6,2,1,29,32,102,76,16,0
4,Fenerbahce Beko Istanbul,LDLC ASVEL Villeurbanne,1,101,86,21,21,22,20,8,4,1,2,37,31,120,92,8,9
4,Olympiacos Piraeus,Partizan Mozzart Bet Belgrade,1,98,94,16,21,17,17,10,8,1,3,38,31,113,90,11,13
4,Baskonia Vitoria-Gasteiz,Zalgiris Kaunas,0,82,99,16,18,17,21,6,1,3,1,33,39,90,114,3,17
4,Real Madrid,EA7 Emporio Armani Milan,1,88,71,24,23,21,10,5,6,1,1,28,31,96,63,14,5
4,AS Monaco,ALBA Berlin,1,86,75,25,15,24,16,7,6,2,1,33,31,107,74,1,0
4,Anadolu Efes Istanbul,Valencia Basket,1,77,73,24,21,23,18,5,4,2,2,34,34,98,76,2,15
4,Panathinaikos AKTOR Athens,Maccabi Playtika Tel Aviv,0,81,86,15,20,18,24,13,13,6,3,39,42,98,90,12,10
